Subject,Start Date,Start Time,End Date,End Time,Description,Location
sem - Seminarium dyplomowe dr Bożena Ciupek, 10/10/2018, 15:20, 10/10/2018, 17:00, dr Ciupek Bożena - SD, 5 L
sem - Seminarium dyplomowe dr Aleksandra Lubicz-Posochowska, 10/10/2018, 15:20, 10/10/2018, 17:00, dr Lubicz-Posochowska Aleksandra - SD, Katedra -
sem - Seminarium dyplomowe dr Danuta Kozłowska-Makóś, 11/10/2018, 09:50, 11/10/2018, 11:30, dr Kozłowska-Makóś Danuta - SD, 5 L
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 11/10/2018, 13:30, 11/10/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 11/10/2018, 15:20, 11/10/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Jolanta Gałuszka, 11/10/2018, 17:10, 11/10/2018, 18:50, dr Gałuszka Jolanta - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 12/10/2018, 08:00, 12/10/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 12/10/2018, 09:50, 12/10/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 12/10/2018, 11:40, 12/10/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
wyk - Prawo instrumentów finansowych, 15/10/2018, 15:20, 15/10/2018, 17:00, prof. UE dr hab. Witosz Aleksander - PSW, 228 A
